gold_3_games_avg,total_3_games_avg,gold_std,total_std,gold_growth_noc_rate,metal_growth_noc_rate,gold_growth_game_rate,metal_growth_game_rate,gold_num,metal_num,best_rank_last_3,rank_trend,participation_times,best_gold,best_total,athletes_count,veteran_ratio,star_athlete_num,athletes_growth_rate,medals_per_athlete,gold_per_athlete,unique_sports_last,unique_events_last,event_growth,sport_growth,hhi_sport,dominant_sport,gold_event_rate,metal_event_rate,gold_event_avg,metal_event_avg,consistent_sports,years_since_last_medal,is_host_history,NOC_Code,Year,gold_predict,metal_predict,ishost_hostrate_gold,ishost_hostrate_metal,ishost
5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11,4,4.0,1,5,11,12.0,0.0,2.0,0.0,0.9166666666666666,0.4166666666666667,6.0,18.0,0.0,0.0,0.40495867768595034,1.0,0.2777777777777778,0.4444444444444444,0.2777777777777778,0.6111111111111112,0.0,4.0,0,FRA,1900,27,103,0,0,1
11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,11,20,1,1.0,1,11,20,14.0,0.0,2.0,0.0,1.4285714285714286,0.7857142857142857,3.0,16.0,0.0,0.0,0.7449999999999999,1.0,0.6875,0.75,0.6875,1.25,0.0,4.0,0,USA,1900,19,48,0,0,0
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7,5,5.0,1,2,7,10.0,0.0,0.0,0.0,0.9,0.3,7.0,19.0,0.0,0.0,0.25925925925925924,0.0,0.15789473684210525,0.42105263157894735,0.15789473684210525,0.47368421052631576,0.0,4.0,0,GBR,1900,15,31,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BEL,1900,6,17,0,0,0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,10,10.0,1,1,3,3.0,0.0,1.0,0.0,1.0,0.3333333333333333,2.0,5.0,0.0,0.0,1.0,1.0,0.2,0.6,0.2,0.6,0.0,4.0,0,SUI,1900,6,9,0,0,0
6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13,3,3.0,1,6,13,19.0,0.0,3.0,0.0,1.6842105263157894,1.3157894736842106,6.0,27.0,0.0,0.0,0.76953125,1.0,0.25925925925925924,0.4444444444444444,0.9259259259259259,1.1851851851851851,0.0,4.0,0,GER,1900,4,9,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ITA,1900,3,5,0,0,0
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,8,8.0,1,2,2,1.0,0.0,1.0,0.0,3.0,2.0,2.0,5.0,0.0,0.0,0.5555555555555556,1.0,0.4,0.6,0.4,0.6,0.0,4.0,0,AUS,1900,2,5,0,0,0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,9,9.0,1,1,6,3.0,0.0,2.0,0.0,2.0,0.3333333333333333,5.0,12.0,0.0,0.0,0.3888888888888889,0.0,0.08333333333333333,0.5,0.08333333333333333,0.5,0.0,4.0,0,DEN,1900,1,6,0,0,0
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,6,6.0,1,2,6,7.0,0.0,0.0,0.0,0.8571428571428571,0.2857142857142857,6.0,14.0,0.0,0.0,0.3888888888888889,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,4.0,0,HUN,1900,1,5,0,0,0
